pos COMBINED_rate Genetic_Map
1 8.909060346276684 0
95184 21.939923934697678 0.848
133835 653.0454895913648 1.696
135132 156.51531930601695 2.543
140550 103.48174635505464 3.391
339387 249.77986498385755 23.967
342794 30.17993942633165 24.818
370859 6.137454873428562 25.665
785526 1814.550641940086 28.21
786928 675.6972111553777 30.754
788183 104.02849422746226 31.602
796325 108.89944779761127 32.449
804112 117.58989310009737 33.297
811315 93.87800287833488 34.144
820348 73.38416219026176 34.992
831890 318.37807396283046 35.839
837217 109.97276617818734 37.535
852639 28.725920919229516 39.231
882229 26.020142651605422 40.081
914896 11.897579796562693 40.931
986171 277.3411918795004 41.779
989225 3636.9656833233016 42.626
990886 37.07265891405085 48.667
1013760 66.84007251517293 49.515
1026447 11.023352519080081 50.363
1184203 6.194852422969617 52.102
1326095 43.80869396843843 52.981
1346753 6.053419870194691 53.886
1490969 43.29510882284113 54.759
1533699 46.785225718194276 56.609
1570249 147.29241877256317 58.319
1585484 189.18918918918789 60.563
1589961 302.1557099590246 61.41
1595574 1296.046287367407 63.106
1596611 183.72799028536625 64.45
1604846 11.40358398353771 65.963
1744802 16.789965283517937 67.559
1841586 13.852565023710284 69.184
1911176 15.7943419605927 70.148
1968475 197.0691163604541 71.053
1973047 21.138883150864295 71.954
2016616 19.272660143991082 72.875
2070786 63.253559527415746 73.919
2087291 3712.418300653596 74.963
2088209 555.411114722133 78.371
2091286 2185.407725321894 80.08
2092451 11.049824608373157 82.626
2749837 10.217213014555682 89.89
3199764 222.91521918273045 94.487
3261653 153.6654637083859 108.283
3402140 32.666551372955716 129.871
3454181 24.28944927047326 131.571
3489752 20.75664230667821 132.435
3986605 15.884798099762895 142.748
4040493 26.089852712604483 143.604
4094537 3.93208672451288 145.014
4451345 53.623371695964636 146.417
4467159 195.14433888659457 147.265
4488948 7.619320163475589 151.517
4600769 39.88134475939394 152.369
4622007 3.637517908770299 153.216
4855133 40.9504182325132 154.064
4937623 16.546846917245837 157.442
4988811 155.79643578908932 158.289
4994254 471.4391691394662 159.137
4999646 10.886609598725077 161.679
5077448 165.52901023890695 162.526
5097958 4.175081012539379 165.921
5310888 13.474272896277437 166.81
5375975 4.303529830010513 167.687
5589753 56.978510961580824 168.607
5608181 21.308466423342075 169.657
5655580 118.50514031675586 170.667
5662778 118.27882000139466 171.52
5677117 94.48160535117019 173.216
5695057 42.549658564935164 174.911
5743236 21.53143014629889 176.961
5830318 23.583241195981973 178.836
5915336 4.922756465891262 180.841
6203386 156.34082912651365 182.259
6209923 35.282669429010745 183.281
6241780 451.788491446344 184.405
6245638 13.168949147911595 186.148
6392043 20.354525012411376 188.076
6460529 44.27305721605443 189.47
6498001 121.17765984331605 191.129
6505915 107.24233983286925 192.088
6537507 77.29701322589186 195.476
6560341 17.796251586728456 197.241
6640695 459.8262757871924 198.671
6642537 742.4124513618737 199.518
6643822 19.405528209011848 200.472
6696642 71.42280035549699 201.497
6721396 61.77156177156273 203.265
6748852 105.0154798761591 204.961
6756927 417.3228346456758 205.809
6758959 41.08032514640319 206.657
6804723 14.918695208400433 208.537
6876244 7.735553226323409 209.604
6991685 4.239472643638939 210.497
7191474 24.72519462343684 211.344
7225771 98.15737628925484 212.192
7234400 274.571151148993 213.039
7243669 23.4385809558073 215.584
7279806 133.56074521122997 216.431
7298861 151.07330903199673 218.976
7313675 13.536216997310225 221.214
7428552 1163.0971993410185 222.769
7430373 4.451427075150483 224.887
7602228 1403.3149171270832 225.652
7603133 96.67391980105687 226.922
7641737 37.889712097856915 230.654
7681959 62.114638045215685 232.178
7712612 7516.129032258083 234.082
7712860 44.641478638699596 235.946
7758199 0.7285268164698178 237.97
10182269 465.8823529411787 239.736
10187794 23.76374451721435 242.31
10221080 1239.7298818232994 243.101
10222857 418.17215727948815 245.304
10228503 640.048033623538 247.665
10231834 1149.068322981367 249.797
10233927 33.678590496529594 252.202
10280752 39.526138709038875 253.779
10316121 735.5096602265246 255.177
10317622 267.9018063918477 256.281
10328417 41.23258165194022 259.173
10351166 415.6862745098104 260.111
10353206 19.883566628140354 260.959
10399928 46.955280685062945 261.888
10420948 152.00507211919532 262.875
10427257 87.35878457343118 263.834
10437525 41.82408696228543 264.731
10467699 27.758439101019416 265.993
10523718 961.6236162361604 267.548
10525073 2048.309178743993 268.851
10525487 33.83531415740648 269.699
10551318 14.232934116888895 270.573
10672305 222.13480199318096 272.295
10683744 15.721763491595558 274.836
10738000 23.808185293455697 275.689
10773576 1751.4792899407826 276.536
10774083 213.6542762807571 277.424
10783472 52.53724209352413 279.43
